127.0.0.1 | 2026-04-26 17:13:08 | /index.html | 404 File Not Found
127.0.0.1 | 2026-04-26 17:13:09 | /favicon.ico | 404 File Not Found
127.0.0.1 | 2026-04-26 17:19:49 | /index.html | 200 OK
127.0.0.1 | 2026-04-26 17:22:55 | /image.jpg | 200 OK
127.0.0.1 | 2026-04-26 17:23:28 | /abc.html | 404 File Not Found
127.0.0.1 | 2026-04-26 17:25:03 | /index.html | 200 OK
127.0.0.1 | 2026-04-26 17:27:45 | /index.html | 304 Not Modified
127.0.0.1 | 2026-04-26 17:28:51 | /server.py | 404 File Not Found
127.0.0.1 | 2026-04-26 17:29:52 | /../server.py | 403 Forbidden
127.0.0.1 | 2026-04-26 17:30:36 | /index.html | 400 Bad Request
127.0.0.1 | 2026-04-26 17:32:37 | /index.html | 200 OK
127.0.0.1 | 2026-04-26 17:33:07 | /index.html | 200 OK
